group,item
106,5433
106,10107
106,5180
108,2817
108,5126
108,9735
108,136
108,650
108,1805
108,8208
108,11794
108,11025
108,29
108,2461
108,2462
108,1697
108,39
108,3372
108,11127
108,2228
108,11837
108,4542
108,2252
108,8145
108,722
108,8915
108,476
108,4198
108,361
108,111
108,502
108,2807
108,4344
108,2297
108,2814
110,113
110,2642
111,113
117,116
120,1781
120,119
121,7937
121,1510
121,202
121,7658
121,10156
121,10097
121,626
121,119
121,3509
121,1686
121,3127
121,9721
121,3355
121,8988
121,8157
122,120
124,3761
124,122
124,3338
125,123
126,642
126,4866
126,646
126,892
126,1034
126,14
126,7698
126,2322
126,7321
126,1436
126,287
126,3106
126,802
126,805
126,168
126,1960
126,2739
126,3763
126,566
126,567
126,5180
126,6463
126,2627
126,3779
126,3780
126,10696
126,714
126,715
126,6735
126,2255
126,6485
126,8407
126,992
126,1889
126,1252
126,11241
126,3950
126,10225
126,7794
126,1651
126,2931
126,1530
126,10107
126,124
126,10239
127,9216
127,641
127,7809
127,2180
127,7173
127,7693
127,4118
127,537
127,1059
127,11046
127,680
127,8362
127,4266
127,4652
127,2740
127,8885
127,7478
127,4918
127,5818
127,4667
127,3514
127,11195
127,7612
127,8516
127,1864
127,74
127,2126
127,8145
127,2131
127,8404
127,980
127,8660
127,8792
127,1754
127,218
127,10978
127,2661
127,8933
127,1383
127,104
127,6505
127,8171
127,7535
127,2419
127,3059
127,125
128,128
128,126
128,127
129,129
133,129
137,448
137,4769
137,483
137,1510
137,135
137,1358
137,1519
137,8529
137,593
137,1393
137,8404
137,2811
139,824
139,1651
139,2252
139,136
142,137
143,9089
143,137
143,138
143,139
143,140
143,141
143,142
143,143
143,4268
143,370
144,144
145,144
145,3761
145,2740
146,2021
146,715
146,4844
146,10862
146,879
146,145
146,2129
146,7478
146,666
146,218
146,890
148,147
149,7304
149,148
150,9089
150,8199
150,5705
150,8208
150,1490
150,7699
150,148
150,149
150,1043
150,8404
150,5980
150,5166
150,8942
150,2737
150,3508
150,10942
151,5210
151,150
151,439
152,151
153,151
153,152
153,153
153,154
153,2461
154,155
156,156
156,157
160,442
160,5058
160,156
160,4426
161,7173
161,6675
161,4381
161,158
161,159
161,4255
161,542
161,994
161,5158
161,1449
161,2157
161,4207
161,688
161,369
161,11183
161,627
161,568
161,1722
162,160
165,448
165,899
165,4356
165,3462
165,4295
165,76
165,2252
165,8143
165,3858
165,4756
165,2524
165,7135
165,162
165,163
165,10853
165,4453
165,7340
165,10861
165,174
165,1262
165,1519
165,5874
165,6652
165,5180
165,7870
166,162
167,6683
167,7587
167,164
167,76
168,165
169,166
169,1775
183,2112
183,2661
183,169
183,10861
183,302
183,3569
183,2451
183,2580
183,4697
183,10107
184,169
185,169
186,169
187,1280
187,6402
187,3335
187,4232
187,538
187,7706
187,1182
187,1183
187,1057
187,673
187,1704
187,1321
187,170
187,179
187,1588
187,4532
187,11062
187,1726
187,3135
187,10180
187,10565
187,1606
187,201
187,76
187,2129
187,8402
187,8404
187,219
187,2524
187,5085
187,2149
187,10862
187,1647
187,8687
187,2418
187,1399
187,10107
188,171
188,76
188,3660
197,7794
197,172
198,1808
198,4819
198,1651
198,6055
198,1691
198,1084
198,173
201,175
206,2817
206,4610
206,4
206,11014
206,3335
206,2824
206,7942
206,1035
206,9229
206,9231
206,6421
206,535
206,2040
206,8988
206,285
206,799
206,2337
206,1058
206,9507
206,805
206,5677
206,1582
206,3375
206,3376
206,308
206,9784
206,824
206,3647
206,1097
206,7499
206,6991
206,2815
206,10837
206,8286
206,3938
206,2915
206,613
206,4198
206,9318
206,5736
206,4967
206,1896
206,5995
206,1644
206,2924
206,10862
206,4207
206,2672
206,1135
206,1650
206,2418
206,370
206,3447
206,10107
206,2941
206,638
206,7551
206,641
206,3970
206,4482
206,3461
206,9351
206,1672
206,648
206,650
206,10379
206,9608
206,393
206,142
206,6544
206,11666
206,3732
206,8854
206,10134
206,408
206,3483
206,3485
206,670
206,2207
206,1182
206,2462
206,2976
206,8099
206,6820
206,7589
206,1960
206,3241
206,2991
206,177
206,2741
206,5561
206,190
206,4544
206,9665
206,3779
206,7621
206,198
206,6087
206,455
206,5847
206,3802
206,220
206,8412
206,7135
206,2784
206,483
206,5352
206,1769
206,2025
206,2026
206,7917
206,495
206,9462
206,5110
206,4598
206,763
206,10495
208,3704
208,1553
208,178
208,179
208,180
208,181
208,182
208,183
208,184
208,2170
208,446
209,185
210,185
211,185
212,185
213,186
214,186
214,10877
215,186
217,186
218,3096
218,187
218,188
219,3018
219,187
220,187
220,5158
221,187
222,187
224,187
225,187
226,187
227,187
227,3557
227,6735
228,192
228,193
228,9388
229,194
230,195
232,196
233,197
237,200
238,200
238,879
238,1055
240,201
240,202
243,4819
243,10107
243,6949
243,538
243,203
243,715
244,204
245,205
246,206
248,208
250,211
251,211
252,211
253,211
254,211
257,6497
257,3543
257,3462
257,215
257,1081
257,74
259,217
259,1026
259,2252
259,4295
264,218
264,10107
264,982
276,222
278,224
279,225
280,226
281,6916
281,1031
281,8584
281,2825
281,639
281,4625
281,9750
281,9240
281,4120
281,408
281,2083
281,2983
281,2344
281,1327
281,9779
281,310
281,5433
281,4923
281,189
281,831
281,3021
281,8145
281,8660
281,8279
281,2137
281,10849
281,226
281,227
281,228
281,229
281,483
281,4071
281,234
281,1516
281,2157
281,626
281,5874
281,6773
281,1910
281,2813
281,2815
283,193
285,193
286,193
287,235
287,236
287,237
287,238
289,240
290,241
291,242
291,668
291,2798
292,243
295,209
295,676
295,3387
295,244
296,4769
296,244
296,245
296,948
296,2551
296,11130
300,246
300,1991
301,256
301,4544
301,1729
301,8902
301,8714
301,9420
301,4303
301,793
301,3961
301,247
301,482
301,249
301,7143
301,553
301,250
301,251
301,246
301,3127
301,248
301,4409
301,9978
301,10107
301,252
301,253
301,254
301,255
308,258
310,259
310,260
311,10898
311,261
311,5110
311,918
311,190
312,262
313,7564
313,263
316,264
316,103
317,614
317,265
317,266
317,10701
317,3309
317,1008
317,5491
317,10038
317,3166
317,4122
317,2461
317,1790
318,267
319,267
320,268
321,268
322,268
323,268
324,269
325,269
327,269
329,8404
329,271
329,1524
329,270
330,272
330,273
330,270
331,274
331,5932
331,2729
331,1804
331,1821
333,274
333,1151
334,1025
334,451
334,6884
334,3238
334,3335
334,2824
334,11242
334,652
334,274
334,9010
334,1010
334,408
334,190
334,2111
335,275
336,275
337,275
338,276
339,642
339,5893
339,7564
339,76
339,1808
339,8402
339,277
339,284
339,1183
339,10107
339,2724
339,5224
339,171
339,10605
339,763
339,9776
339,688
339,1648
339,2227
339,824
339,5180
339,4029
339,2814
339,3135
341,278
341,279
342,280
342,1898
342,278
342,4295
344,3338
344,1808
344,281
344,670
344,287
344,1058
344,168
344,2864
344,1651
344,2676
344,2739
344,180
344,569
344,1274
344,10107
344,5180
344,638
344,2239
345,282
347,282
349,288
349,202
349,282
349,284
349,285
349,286
349,287
350,289
350,282
352,290
353,6531
353,3078
353,1799
353,9869
353,8850
353,10134
353,537
353,7325
353,2461
353,5789
353,8352
353,3745
353,8990
353,291
353,803
353,7206
353,11046
353,682
353,4141
353,5171
353,8245
353,8885
353,6072
353,190
353,8516
353,3397
353,1606
353,1095
353,1097
353,2251
353,76
353,3704
353,980
353,10838
353,4568
353,2268
353,2783
353,8161
353,10726
353,3176
353,4968
353,2025
353,10861
353,5614
353,2798
353,1393
353,626
353,1651
353,4468
353,3701
353,11128
353,3833
353,10107
354,292
356,292
357,292
358,292
359,1058
359,1698
359,8099
359,293
359,5210
359,3335
359,8
359,4496
359,2741
359,8502
359,5944
359,2682
359,2556
360,294
361,9218
361,6916
361,9735
361,8
361,8208
361,11794
361,1555
361,1557
361,9750
361,23
361,2327
361,3355
361,1819
361,29
361,4637
361,8223
361,7454
361,1825
361,7970
361,9980
361,806
361,295
361,296
361,1835
361,46
361,3635
361,10492
361,10806
361,10808
361,824
361,4666
361,5435
361,2556
361,4425
361,1353
361,7244
361,1875
361,6228
361,8279
361,8792
361,5208
361,602
361,92
361,2140
361,10853
361,1896
361,8041
361,10861
361,1650
361,1141
361,5749
361,1910
361,1656
361,2682
361,10619
361,6781
361,3455
361,130
361,1410
361,1925
361,11655
361,136
361,10378
361,650
361,652
361,4749
361,5259
361,3213
361,7564
361,10641
361,8852
361,10900
361,2968
361,2458
361,2459
361,1182
361,2462
361,1696
361,4769
361,3490
361,6820
361,1188
361,3238
361,7589
361,8616
361,2217
361,1960
361,8619
361,942
361,688
361,178
361,1972
361,5302
361,11191
361,2744
361,8377
361,4284
361,190
361,6848
361,6849
361,454
361,971
361,716
361,6607
361,2258
361,1749
361,5589
361,7127
361,7128
361,3802
361,8671
361,7135
361,9953
361,483
361,10214
361,1516
361,4078
361,10226
361,1781
361,5109
361,3832
361,1785
361,6652
365,298
365,299
365,300
365,301
365,302
366,303
367,304
368,304
369,304
370,304
370,305
370,306
371,312
371,313
371,2120
371,307
371,308
371,309
371,6870
371,727
371,10838
371,310
371,10107
371,311
371,7160
372,315
372,6226
372,314
372,1915
372,7564
372,2813
373,6467
373,3397
373,1031
373,2568
373,136
373,1034
373,7564
373,2252
373,2833
373,337
373,1495
373,668
373,670
373,3170
373,3238
373,4968
373,1705
373,1898
373,1325
373,2672
373,1399
373,1785
373,314
373,1727
374,314
375,4069
375,10279
375,10121
375,1804
375,5932
375,2606
375,8464
375,6578
375,9016
375,3253
375,1272
375,316
375,317
375,6910
377,318
379,320
380,321
381,75
382,75
383,75
386,7064
386,75
387,322
388,322
389,323
390,324
391,325
393,329
393,330
395,329
396,331
397,6210
397,331
397,332
397,2029
397,5549
398,331
399,331
401,333
402,714
402,333
403,1707
403,3893
403,334
404,641
404,335
405,336
405,335
406,335
408,339
413,4819
413,340
415,341
419,345
420,346
421,2252
421,764
421,346
421,347
421,716
422,348
423,348
425,448
425,1799
425,408
425,349
425,799
428,10246
428,7
428,2122
428,2451
428,8660
428,602
428,2461
428,350
428,351
428,352
428,353
428,354
428,355
428,356
428,7714
428,5086
428,1394
428,824
428,9978
428,638
428,831
430,3202
430,454
430,6666
430,4749
430,4883
430,4372
430,1557
430,2454
430,2071
430,2262
430,8157
430,356
430,3238
430,358
430,3368
430,359
430,360
430,361
430,4140
430,362
430,363
430,4967
430,1522
430,370
430,1272
430,3515
430,1789
431,364
432,365
433,3585
433,366
434,367
435,367
439,2824
439,369
440,369
440,7767
443,369
443,371
443,10343
450,374
451,3202
451,1495
451,5337
451,3045
451,3046
451,3335
451,7218
451,7283
451,8404
451,8660
451,10485
451,375
451,183
451,8988
453,377
453,8425
454,378
455,1986
455,581
455,6940
455,76
455,2577
455,3732
455,7478
455,2457
455,378
455,379
455,380
455,287
456,1059
456,3130
456,11210
456,174
456,272
456,3610
456,340
456,8662
456,378
456,3323
456,7612
457,381
458,384
458,4547
458,6
458,8102
458,5543
458,2663
458,715
458,2418
458,4819
458,8502
458,382
458,383
459,714
459,382
460,382
462,385
464,386
465,386
466,386
467,386
468,386
468,387
468,388
468,389
468,9316
468,1798
468,1193
468,9996
468,7451
470,7135
470,391
471,2752
471,7616
471,451
471,3463
471,392
471,1097
471,651
471,7244
471,717
471,9554
471,2451
471,9045
471,8795
471,8988
471,1631
471,4512
471,9449
471,4140
471,3706
471,7548
471,11837
471,4030
473,3557
473,3559
473,393
473,394
473,395
476,393
476,7564
478,396
479,3041
479,2180
479,393
479,651
479,397
479,8145
479,3514
479,8795
480,397
483,1438
483,399
485,400
489,10640
489,337
489,402
489,403
489,404
489,405
489,991
495,409
495,308
496,410
498,715
498,412
499,202
499,412
499,1007
501,833
501,4295
501,1097
501,457
501,9033
501,10702
501,1808
501,2512
501,412
501,7326
501,6366
501,3238
501,2026
501,3693
501,946
501,4530
501,438
501,11130
501,1084
502,413
504,6531
504,6916
504,2184
504,1297
504,1557
504,5781
504,1945
504,538
504,3355
504,4637
504,2462
504,415
504,416
504,1825
504,677
504,3238
504,2217
504,178
504,948
504,7870
504,454
504,1095
504,76
504,5204
504,84
504,8404
504,3802
504,4191
504,7135
504,10853
504,10861
504,3693
504,1651
504,5109
504,10229
504,1785
504,10492
504,1406
505,417
507,5250
507,2322
507,8850
507,659
507,3093
507,2462
507,419
507,1317
507,682
507,5806
507,688
507,11837
507,3901
507,831
507,2752
507,1858
507,2120
507,10824
507,4426
507,11471
507,337
507,8404
507,3579
507,1241
507,9187
507,10089
507,6122
507,10862
507,7022
507,4975
507,1651
507,5751
507,3451
507,2300
507,11391
509,420
510,420
510,718
511,421
512,421
513,421
514,5732
514,421
514,422
514,3335
514,3429
514,11402
514,719
514,3312
515,423
518,1353
518,1034
518,2122
518,1227
518,2508
518,5262
518,2256
518,5266
518,8404
518,6485
518,5789
518,7714
518,869
518,3557
518,423
518,8232
518,10089
518,2409
518,946
518,1013
518,9590
518,7609
518,3514
518,2683
518,2108
523,427
523,8973
523,1165
523,3949
523,4369
523,10357
523,2743
523,3323
523,763
524,427
528,429
528,428
528,8885
528,3239
529,96
529,1058
529,428
529,430
529,1327
529,4751
529,593
529,2130
529,8404
529,7609
529,220
529,285
529,446
530,3462
530,4295
530,2568
530,1510
530,6119
530,2252
530,10861
530,5582
530,431
530,432
530,1647
530,1493
530,4055
530,1183
531,433
531,434
532,435
533,1553
533,435
534,436
537,202
537,437
559,448
559,449
559,450
559,451
559,452
561,448
561,453
561,454
561,455
561,7870
569,448
569,456
569,457
569,3466
569,7453
578,3463
578,458
578,8763
578,7340
578,10862
579,459
579,460
579,461
579,462
580,4496
580,4819
580,52
580,459
580,1182
580,11471
582,463
585,463
587,463
588,463
589,463
591,463
592,651
592,2798
592,466
592,2931
592,946
592,438
592,1182
592,3199
594,463
597,463
598,463
599,463
600,468
600,469
600,470
600,405
601,463
602,463
603,463
604,463
607,474
607,3268
608,463
610,463
611,463
612,463
614,463
615,6652
615,3238
615,474
615,476
615,9116
615,2140
617,463
622,463
624,463
625,463
626,7624
626,478
627,463
628,463
629,463
631,481
631,482
631,483
631,2513
632,481
632,484
632,485
632,486
632,1919
633,463
634,7216
634,2741
634,902
634,487
634,488
634,6
635,1409
635,8933
635,487
635,5070
635,3761
635,4659
635,308
635,10747
635,574
635,3583
636,463
637,2536
637,489
638,463
639,463
640,490
640,491
640,492
641,1553
641,916
641,507
641,505
641,503
641,508
641,5158
641,490
641,493
641,494
641,495
641,496
641,497
641,498
641,499
641,308
641,500
641,501
641,504
641,5753
641,506
641,5179
641,1020
642,2817
642,1892
642,1770
642,5680
642,3730
642,51
642,10131
642,55
642,535
642,2873
642,8154
642,2971
642,509
643,510
643,511
644,502
647,515
647,516
647,517
648,502
649,502
650,502
652,502
653,502
654,3335
654,1030
654,982
654,519
655,502
657,642
657,5474
657,520
657,6666
657,2672
657,2832
657,2462
657,1727
658,1799
658,520
658,521
658,522
658,523
658,524
658,525
658,526
658,527
658,528
658,529
658,11402
658,4367
658,3337
658,408
658,7450
658,7323
658,10395
658,1435
658,2852
658,8613
658,191
658,6975
658,201
658,3660
658,4185
658,2524
658,11103
658,994
658,1510
658,4967
658,360
658,3176
658,6122
658,3053
658,8434
658,7670
658,2814
659,7425
659,530
660,1526
661,1526
662,530
662,3044
663,530
663,531
663,532
663,9414
663,5433
664,1526
666,1526
667,3706
667,8988
667,535
669,1526
671,1526
672,1526
674,544
674,5554
674,7548
675,544
675,2817
675,1234
675,4879
676,1526
677,545
677,546
678,209
678,9108
678,1894
678,545
679,545
679,547
679,548
679,1285
679,1560
679,5722
679,221
680,1526
681,550
681,11471
682,551
682,552
682,553
682,554
682,555
682,6360
683,1296
683,556
685,3492
685,630
685,5433
685,2025
685,639
685,559
686,1526
687,1526
688,1526
689,560
689,1280
689,202
689,593
690,560
690,218
690,631
691,560
691,538
692,561
692,562
693,1526
694,1526
695,563
695,439
698,1097
698,563
699,1526
701,455
701,9256
701,563
701,5818
701,10107
701,573
701,574
701,575
702,1526
703,576
703,577
703,578
703,579
703,580
703,5572
703,581
703,2695
703,776
703,563
705,1761
705,5700
705,6980
705,582
705,583
705,584
705,585
705,2602
705,8783
705,5332
705,7895
705,10107
706,1526
707,1526
708,8516
708,3093
708,1095
708,4968
708,588
708,2798
709,1526
710,1526
711,202
711,590
712,1825
712,6531
712,590
712,46
712,5328
712,11794
712,8402
712,824
712,667
712,7135
713,8402
713,893
713,46
713,651
713,1261
713,590
714,6849
714,626
714,949
714,1898
714,2813
714,591
715,1526
716,1526
717,1526
718,1526
720,1526
721,1526
724,1526
725,1526
726,1526
727,1526
728,1526
729,9467
729,598
730,1526
731,1526
732,600
732,601
733,1526
735,1526
736,602
736,4426
737,481
737,602
737,403
737,606
739,602
739,1151
740,608
740,607
741,10544
741,607
742,1526
743,2217
743,610
743,10862
743,10806
744,1526
745,8226
745,611
745,1510
745,10094
745,370
745,831
745,1686
745,1910
745,10651
745,3135
745,11391
746,611
746,1516
747,1526
748,752
748,612
750,612
750,613
750,614
751,1526
752,1526
753,1526
754,1526
755,1526
757,1526
759,621
759,622
759,623
760,1526
761,1526
763,1526
765,538
765,621
765,46
766,1526
767,1526
769,624
769,7232
769,621
775,1526
776,1526
778,568
778,3745
778,626
781,1526
783,1526
784,3761
784,626
786,1526
787,1526
788,1526
789,651
789,6927
789,2129
789,2707
789,8404
789,7125
789,600
789,1689
789,1114
789,7970
789,3044
789,6120
789,42
789,10478
789,3827
789,628
789,10806
790,1526
792,1526
793,834
793,630
794,1526
796,1280
796,4
796,6469
796,76
796,1647
796,979
796,763
796,2524
796,7135
797,1526
799,1526
800,1526
801,1526
802,1526
803,632
803,1553
803,867
803,1545
804,1526
805,1282
805,8450
805,5314
805,3463
805,648
805,9033
805,4425
805,651
805,11210
805,2577
805,1234
805,537
805,538
805,220
805,5149
805,861
805,1631
805,1634
805,101
805,7206
805,7596
805,10734
805,3183
805,1778
805,10548
805,5751
805,632
805,763
805,2813
806,8616
807,633
807,3315
807,5300
807,4819
807,1257
807,634
807,635
808,8616
809,640
809,1909
809,2170
809,284
809,637
809,638
809,639
813,8616
820,8616
821,8616
825,8616
828,8616
830,8616
847,8616
848,284
848,6197
851,8616
852,8616
854,8616
856,8616
872,641
872,284
877,1034
877,284
883,8616
884,672
884,673
884,284
884,671
885,674
885,284
886,8616
887,8616
888,8616
893,8616
895,683
895,6652
896,8616
898,8616
899,8616
900,8616
902,8616
903,8616
904,8616
905,8616
906,690
906,684
907,8616
909,8616
912,7171
912,451
912,1095
912,10824
912,4295
912,2251
912,2256
912,8852
912,1366
912,7135
912,3936
912,4769
912,1825
912,483
912,10089
912,1325
912,5613
912,10094
912,1393
912,7730
912,692
912,7609
912,2170
912,2300
913,1557
913,693
913,694
913,685
914,4968
915,4968
916,3745
916,7767
916,1580
916,2798
916,79
916,948
916,695
916,6424
916,8988
917,3463
917,4016
917,948
917,695
917,696
918,2817
918,3463
918,1288
918,2123
918,8145
918,8402
918,2022
918,2791
918,1258
918,4207
918,10544
918,3313
918,306
918,178
918,7605
918,439
918,697
918,4667
919,4864
919,6916
919,3335
919,2825
919,11794
919,1044
919,29
919,2087
919,5672
919,1580
919,5676
919,301
919,1325
919,1844
919,7481
919,4666
919,6458
919,830
919,6720
919,6210
919,834
919,6467
919,1605
919,1095
919,10824
919,74
919,76
919,593
919,1877
919,2137
919,11099
919,96
919,3170
919,4976
919,369
919,626
919,5238
919,1398
919,2170
919,4733
919,639
919,3455
919,3462
919,136
919,7564
919,8852
919,5781
919,918
919,2458
919,1182
919,10401
919,4769
919,11682
919,1190
919,8619
919,11438
919,688
919,948
919,697
919,3515
919,7870
919,454
919,2252
919,1742
919,2256
919,8662
919,8157
919,8162
919,483
919,1252
919,3557
919,5613
919,2798
919,499
919,9203
919,1781
919,246
919,1789
919,6654
919,10495
920,1785
921,1785
922,1785
923,1785
924,593
924,701
924,702
925,7585
925,3715
925,12515
925,485
925,1192
925,2029
925,7951
925,8157
925,3313
925,3795
925,1267
925,3960
925,4248
925,703
926,1785
927,1785
929,1785
930,707
930,580
930,9030
930,2568
930,10156
930,2575
930,248
930,6106
930,764
932,769
932,2178
932,709
932,6
932,6087
932,980
932,537
932,4640
932,3106
932,8933
932,4453
932,2025
932,8362
932,11242
932,10862
932,4277
932,7478
933,76
933,2461
933,710
934,7424
934,1358
934,2686
934,711
934,2217
934,2170
934,1742
935,1785
936,1785
937,712
937,6987
938,1785
939,1785
940,714
940,715
940,220
941,1785
944,1785
945,1785
946,1785
948,1785
949,4696
949,724
950,1785
951,1785
952,1785
953,726
953,879
954,1785
955,728
955,3202
956,729
956,9108
958,5385
958,2825
958,393
958,11210
958,275
958,5012
958,6360
958,11546
958,731
958,732
958,733
958,11547
958,1949
958,4770
958,5030
958,3244
958,7410
958,6840
958,507
959,1785
960,1785
961,1296
961,734
962,1785
963,899
963,892
963,735
964,1785
965,1785
966,1785
967,1785
969,1785
970,736
970,10528
970,6908
970,662
970,631
970,5178
970,284
970,5149
973,1794
973,3397
973,6666
973,6859
973,593
973,3926
973,1689
973,4377
973,4704
973,739
973,740
973,1580
973,174
973,176
973,4720
973,5108
973,2743
973,2936
973,2750
973,2175
975,10862
975,742
976,4496
977,4496
978,4496
979,3202
979,3112
979,745
979,2857
979,10156
979,370
979,1909
979,3135
980,4496
981,4496
983,4496
985,4496
986,4496
988,4496
989,4496
990,4482
990,7555
990,5954
990,3461
990,8902
990,7499
990,2125
990,3535
990,1367
990,7706
990,2270
990,2784
990,1250
990,682
990,747
990,748
990,749
990,750
990,1582
990,630
990,568
990,5878
990,2170
990,1726
990,831
991,752
991,747
991,7852
991,751
992,1399
993,2530
993,747
993,1726
994,1399
995,1399
996,1399
997,1540
997,3916
997,8654
997,9751
997,7767
997,4704
997,1505
997,482
997,8867
997,936
997,682
997,10861
997,302
997,2481
997,754
997,3508
997,4854
997,11130
997,6652
998,1399
1000,1399
1002,1399
1004,1399
1005,1399
1006,2817
1006,168
1006,2025
1006,716
1006,718
1006,879
1006,467
1006,4819
1006,439
1006,824
1006,538
1006,2462
1009,768
1009,769
1009,770
1009,771
1009,772
1009,773
1009,774
1009,775
1009,776
1009,777
1009,778
1009,779
1009,780
1009,781
1009,782
1009,783
1009,784
1009,785
1009,786
1009,787
1009,788
1009,789
1009,8723
1009,2711
1009,920
1009,286
1009,4640
1009,10107
1009,1445
1009,8230
1009,1280
1009,7596
1009,2742
1009,5178
1009,445
1009,574
1009,576
1009,4544
1009,384
1009,1986
1009,10822
1009,766
1009,202
1009,717
1009,718
1009,722
1009,467
1009,979
1009,2695
1009,219
1009,220
1009,1505
1009,2663
1009,5479
1009,1261
1009,879
1009,11250
1009,887
1009,3704
1009,6523
1009,638
1009,767
1011,6
1013,6
1016,161
1016,581
1016,6
1016,793
1017,6
1018,6
1019,6
1021,6
1025,6
1026,6
1027,3761
1027,795
1027,661
1027,902
1028,6402
1028,3938
1028,2825
1028,7564
1028,2606
1028,8336
1028,6544
1028,499
1028,3509
1028,2237
1028,796
1028,8157
1029,322
1029,8924
1029,2347
1029,211
1029,2873
1029,3961
1029,1916
1029,797
1030,6
1031,6
1033,6
1035,6
1039,800
1039,801
1039,802
1039,803
1039,804
1039,6478
1039,219
1039,156
1039,799
1040,799
1040,805
1040,806
1040,182
1040,5975
1040,623
1042,7794
1042,799
1043,538
1043,803
1043,799
1044,6
1045,6
1046,6
1047,833
1047,1353
1047,1358
1047,1680
1047,8724
1047,980
1047,9507
1047,6884
1047,808
1047,553
1047,809
1047,877
1047,302
1047,949
1047,2040
1047,3515
1047,6652
1047,446
1048,2568
1048,8724
1048,24
1048,8226
1048,2344
1048,2857
1048,810
1048,811
1048,812
1048,813
1048,814
1048,815
1048,816
1048,7471
1048,1586
1048,8756
1048,1845
1048,10806
1048,2615
1048,3139
1048,9027
1048,11078
1048,1095
1048,2121
1048,1098
1048,74
1048,76
1048,3659
1048,7243
1048,1103
1048,8783
1048,593
1048,3916
1048,1358
1048,9303
1048,2139
1048,1628
1048,1629
1048,1627
1048,4704
1048,1633
1048,96
1048,356
1048,10861
1048,3694
1048,2418
1048,6003
1048,1910
1048,6263
1048,4728
1048,1149
1048,3199
1048,640
1048,6789
1048,3206
1048,3462
1048,136
1048,394
1048,8076
1048,658
1048,2455
1048,6553
1048,6044
1048,5789
1048,1188
1048,2213
1048,3238
1048,428
1048,7596
1048,688
1048,3249
1048,178
1048,4275
1048,2481
1048,9654
1048,183
1048,7613
1048,4029
1048,2753
1048,9154
1048,7876
1048,6599
1048,2252
1048,7628
1048,1234
1048,9430
1048,8157
1048,482
1048,228
1048,8171
1048,8697
1048,7921
1048,9721
1048,6138
1049,448
1049,817
1049,818
1049,10622
1049,568
1049,1182
1050,11402
1051,819
1051,8852
1051,3462
1051,6486
1051,136
1051,202
1052,11402
1053,11402
1054,11402
1056,833
1056,337
1056,822
1056,823
1056,824
1058,11402
1060,832
1060,833
1060,834
1060,835
1060,6916
1060,454
1060,9422
1060,6734
1060,1553
1060,8850
1060,1555
1060,2451
1060,10710
1060,670
1060,1182
1060,3557
1060,8616
1060,1707
1060,434
1060,51
1060,3127
1060,568
